,DATE,Open,High,Low,Close,Adj Close,NEWORDER,EXKOUS,EXCHUS,HM4UP,pred,accuracy,precision,recall,pred,accuracy,precision,recall
87,2016-08-01,2024.709961,2063.090088,1993,2034.650024,2034.650024,59218,1173.7905,6.5259,0,0,0.702702703,0.466666667,0.7,0,0.722222222,0.5,0.7
88,2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,59724,1165.2023,6.5892,0,1,,,,1,,,
89,2016-10-01,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,60456,1140.865,6.6771,0,0,,,,0,,,
90,2016-11-01,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,61821,1110.0183,6.6466,0,1,,,,1,,,
91,2016-12-01,1987.47998,2053.459961,1960.650024,2026.459961,2026.459961,60102,1108.3638,6.6702,1,1,,,,1,,,
92,2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,60055,1128.166,6.7303,0,1,,,,1,,,
93,2017-02-01,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,60578,1162.708,6.8402,0,0,,,,0,,,
94,2017-03-01,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,60470,1183.07,6.9198,1,0,,,,0,,,
95,2017-04-01,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,62355,1179.1074,6.8907,0,0,,,,0,,,
96,2017-05-01,2213.610107,2371.669922,2212.870117,2347.379883,2347.379883,62687,1140.4874,6.8694,1,0,,,,0,,,
97,2017-06-01,2348.310059,2402.800049,2335.629883,2391.790039,2391.790039,63108,1133.8617,6.894,0,0,,,,0,,,
98,2017-07-01,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,63572,1134.1755,6.8876,0,0,,,,0,,,
99,2017-08-01,2397.120117,2434.469971,2310.199951,2363.189941,2363.189941,63719,1125.1359,6.8843,0,0,,,,0,,,
100,2017-09-01,2367.449951,2429.120117,2314.310059,2394.469971,2394.469971,63456,1130.8464,6.8066,0,1,,,,1,,,
101,2017-10-01,2425.629883,2528.320068,2421.100098,2523.429932,2523.429932,64123,1131.746,6.7694,1,1,,,,1,,,
102,2017-11-01,2535.969971,2561.629883,2474.280029,2476.370117,2476.370117,64555,1130.27,6.667,0,1,,,,1,,,
103,2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,68024,1131.599,6.569,0,1,,,,1,,,
104,2018-01-01,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,67140,1130.8838,6.6254,1,1,,,,1,,,
105,2018-02-01,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,65101,1099.7945,6.62,0,0,,,,0,,,
106,2018-03-01,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,66707,1082.902,6.5932,1,1,,,,1,,,
107,2018-04-01,2454.719971,2515.379883,2405.909912,2515.379883,2515.379883,66237,1065.641,6.4233,0,0,,,,0,,,
108,2018-05-01,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,67522,1078.4747,6.3183,0,0,,,,0,,,
109,2018-06-01,2419.629883,2479.560059,2296.389893,2326.129883,2326.129883,66828,1069.9418,6.3174,0,0,,,,0,,,
110,2018-07-01,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,67882,1068.0452,6.2967,0,0,,,,0,,,
111,2018-08-01,2301.169922,2322.879883,2218.090088,2322.879883,2322.879883,68034,1076.6595,6.3701,0,0,,,,0,,,
112,2018-09-01,2317.929932,2356.620117,2264.899902,2343.070068,2343.070068,68784,1094.3552,6.4651,0,0,,,,0,,,
113,2018-10-01,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,69973,1122.2029,6.7164,0,0,,,,0,,,
114,2018-11-01,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,69477,1120.427,6.8453,1,0,,,,0,,,
115,2018-12-01,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,69184,1119.82,6.8551,0,0,,,,0,,,
116,2019-01-01,2050.550049,2222.879883,1984.530029,2204.850098,2204.850098,69904,1131.615,6.9191,1,1,,,,1,,,
117,2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,69052,1125.345,6.9367,0,1,,,,1,,,
118,2019-03-01,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,67964,1122.4244,6.8837,0,0,,,,0,,,
119,2019-04-01,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,68935,1120.33,6.7863,1,1,,,,1,,,
120,2019-05-01,2192.939941,2217.030029,2016.25,2041.73999,2041.73999,69166,1121.8333,6.7367,0,0,,,,0,,,
121,2019-06-01,2031.030029,2141.27002,2029.170044,2130.620117,2130.620117,69396,1131.6005,6.7119,1,1,,,,1,,,
122,2019-07-01,2147.23999,2147.23999,2052.030029,2066.26001,2066.26001,68629,1142.165,6.7161,0,0,,,,0,,,
123,2019-08-01,,,,,,68992,1182.9527,6.8519,0,1,,,,,,,
